"yearmonth";"client_type";"tariff_type";"system_zone";"segment";"tot_procured_volume";"tot_delivery_volume";"tot_hedged_volume";"tot_open_volume";"tot_generation_volume";"tot_revenues";"tot_hedged_cost";"tot_open_cost";"tot_generation_cost";"tot_balancing_cost";"tot_uplift_cost";"tot_OPEX_cost";"tot_total_cost";"tot_margin";"hpfc";"unit_revenues";"unit_hedged";"unit_open_cost";"unit_generation_cost";"unit_balancing_cost";"unit_uplift_cost";"unit_OPEX_cost";"unit_total_cost";"unit_margin_cost";"voltage";"supply"
"2022-05";"contracted";"uplift_indexed";1;"non_strategical";2427883;2427883;2427883;0;0;327324073943329;282899720489994;0;0;472873920738297;277413563933286;0;315369816090706;119542578526223;106051638569319;134818718176835;116521150520842;0;0;194768001892306;114261504336612;0;129894980973427;492373720340821;"HV";"EDS"
"2022-05";"expected";"fixed";1;"strategical";4000565;4000565;0;0;4000565;396055935;0;0;396055935;779182051490291;457110575096398;0;449558813024542;-535028780245427;10605163856932;99;0;0;99;194768001892305;114261504336612;0;112373830452584;-133738304525842;"HV";"EDS"
"2022-06";"contracted";"fixed";1;"non_strategical";7200;7200;0;7200;0;1440000;0;783819034418313;0;140232961362458;822682831223597;0;88011061367692;55988938632308;108863754780321;200;0;108863754780321;0;194768001892303;114261504336611;0;122237585232906;777624147670945;"HV";"EDS"
"2022-06";"contracted";"uplift_indexed";1;"non_strategical";2294058;2294058;2294058;0;0;309369933241544;267393447749995;0;0;44680909288506;262122518115439;0;29807379049039;112961427511544;108863754780321;13485706692749;116559148787866;0;0;194768001892306;114261504336612;0;129932979240451;492408768703945;"HV";"EDS"
"2022-06";"expected";"fixed";1;"strategical";38625186;38625186;0;0;38625186;3823893414;0;0;3823893414;752295029993865;441337185764144;0;434046010276352;-516566688763531;108863754780321;99;0;0;99;194768001892306;114261504336612;0;112373830452584;-133738304525843;"HV";"EDS"
"2022-07";"contracted";"fixed";1;"non_strategical";7440;7440;0;7440;0;1488000;0;842581497717488;0;144907393407874;850105592264383;0;942082796284715;545917203715286;113250201306114;200;0;113250201306114;0;194768001892303;114261504336611;0;126624031758698;733759682413018;"HV";"EDS"
"2022-07";"contracted";"uplift_indexed";1;"non_strategical";2082025;2082025;2082025;0;0;279653723636643;241567255559995;0;0;405511849139827;237895308566434;0;269411904908037;102418187286066;113250201306114;134318139136967;116025146460775;0;0;194768001892306;114261504336612;0;129398976913359;491916222360761;"HV";"EDS"
"2022-07";"expected";"fixed";1;"strategical";40886435;40886435;0;0;40886435;404775706500001;0;0;404775706500001;796336924944963;467174557006111;0;459456531450061;-546808249500606;113250201306114;990000000000001;0;0;990000000000001;194768001892306;114261504336612;0;112373830452584;-133738304525842;"HV";"EDS"
"2022-08";"contracted";"fixed";1;"non_strategical";7440;7440;0;7440;0;1488000;0;840257919699507;0;144907393407874;850105592264383;0;939759218266734;548240781733266;112937892432729;200;0;112937892432729;0;194768001892303;114261504336611;0;126311722885314;736882771146863;"HV";"EDS"
"2022-08";"contracted";"uplift_indexed";1;"non_strategical";253245;253245;253245;0;0;341769723315726;295428867049994;0;0;49324022639217;289361546657253;0;329297423979642;124722993360837;112937892432729;134956158390383;116657334616673;0;0;194768001892306;114261504336612;0;130031165069258;492499332112526;"HV";"EDS"
"2022-08";"expected";"fixed";1;"strategical";35652087;35652087;0;0;35652087;3529556613;0;0;3529556613;694388574828063;407366109335977;0;400636157981878;-476804966818783;112937892432729;990000000000001;0;0;990000000000001;194768001892305;114261504336612;0;112373830452584;-133738304525843;"HV";"EDS"
