yearmonth;client_type;tariff_type;system_zone;segment;tot_procured_volume;tot_delivery_volume;tot_hedged_volume;tot_open_volume;tot_generation_volume;tot_revenues;tot_hedged_cost;tot_open_cost;tot_generation_cost;tot_balancing_cost;tot_uplift_cost;tot_OPEX_cost;tot_total_cost;tot_margin;hpfc;unit_revenues;unit_hedged;unit_open_cost;unit_generation_cost;unit_balancing_cost;unit_uplift_cost;unit_OPEX_cost;unit_total_cost;unit_margin_cost;voltage;supply
2022-10;expected;fixed;1;Residential_NEW-1-expected-fixed;61713,90532865300338;54407,039873625202745;0;61713,90532865300338;0;10462047,7638475000858;0;7240652,5685156397521;0;120198,94029832699744;705152,3661339130485;0;8066003,874947880395;2396043,8888996900059;115,9544726484780;169,5249669929760;0;117,3261119994930;0;1,94768001892306;11,4261504336612;0;130,6999424520770;38,8250245408992996;LV;PPC
2022-10;expected;fixed;1;SME_NEW-1-expected-fixed;9077,40881059909043;8002,652570395040129;0;9077,40881059909043;0;1440477,4626711099409;0;1063610,1499735699035;0;17679,88776399990093;103719,8386177469947;0;1185009,876355319982;255467,5863157910062;115,9544726484770;158,6881777307590;0;117,1711192220030;0;1,94768001892305;11,4261504336612;0;130,5449496745880;28,1432280561716013;LV;PPC
2022-10;expected;fixed;3;Residential_NEW-3-expected-fixed;4330,91698479585011;3818,140690113590153;0;4330,91698479585011;0;733721,2113125489559;0;507552,3436006869888;0;8435,24047490138946;49485,7089839757027;0;565473,293059561984;168247,9182529890095;115,9544726484780;169,4147483981700;0;117,1928128344420;0;1,94768001892306;11,4261504336612;0;130,5666432870260;38,8481051111442000;LV;PPC
2022-11;contracted;MCP_indexed;0;Agr-0-contracted-MCP_indexed;1585,18305346407010;1397,498945132739891;0;1585,18305346407010;0;183240,0566967820050;0;186368,7704183589958;0;3087,42935956739984;18112,5400337708015;0;207568,739811697014;-24328,6831149142017;116,4227158052910;115,5955183196990;0;117,5692422468760;0;1,94768001892306;11,4261504336612;0;130,9430726994600;-15,3475543797603002;LV;PPC
2022-11;contracted;MCP_indexed;0;PL-0-contracted-MCP_indexed;4840,43292241775998;4267,330443813590136;0;4840,43292241775998;0;706875,7997495769523;0;555281,3631628160365;0;9427,61448593040041;55307,5147355915033;0;620016,492384338053;86859,3073652386956;116,4227158052910;146,0356565372050;0;114,7172932799280;0;1,94768001892306;11,4261504336612;0;128,0911237325120;17,9445328046924004;LV;PPC
2022-11;contracted;MCP_indexed;0;Residential_OLD-0-contracted-MCP_indexed;39278,77438226550294;34628,206278996301990;0;39278,77438226550294;0;5990302,9467159099877;0;4619651,5209620399401;0;76502,48403212540143;448805,1849416039768;0;5144959,189935769886;845343,7567801220575;116,4227158052900;152,5073793906500;0;117,6119060132340;0;1,94768001892306;11,4261504336612;0;130,9857364658180;21,5216429248310988;LV;PPC
2022-11;contracted;MCP_indexed;0;SME_OLD-0-contracted-MCP_indexed;41192,20997767570225;36315,092989222801407;0;41192,20997767570225;0;6423763,6920291902497;0;4843851,4566448302940;0;80229,24430880119326;470668,3878998800064;0;5394749,088853480294;1029014,6031756900484;116,4227158052920;155,9460804727540;0;117,5914440927050;0;1,94768001892304;11,4261504336612;0;130,9652745452890;24,9808059274646013;LV;PPC
2022-11;contracted;MCP_indexed;1;Agr-1-contracted-MCP_indexed;78134,48098630309687;68883,435586972598685;0;78134,48098630309687;0;9031995,8282523993403;0;9188096,3806272502989;0;152180,96740594599396;892776,3338055389468;0;10233053,681838700548;-1201057,8535863200668;116,4227158052910;115,5955183196990;0;117,5933629384180;0;1,94768001892305;11,4261504336612;0;130,9671933910020;-15,3716750713025991;LV;PPC
2022-11;contracted;MCP_indexed;1;PL-1-contracted-MCP_indexed;65519,83523551189865;57762,351437461002206;0;65519,83523551189865;0;9568232,1548274606466;0;7516244,2394957300276;0;127611,67393133700534;748639,4937896539923;0;8392495,407216709107;1175736,7476107298862;116,4227158052910;146,0356565372050;0;114,7170809034930;0;1,94768001892305;11,4261504336612;0;128,0909113560770;17,9447451811276011;LV;PPC
2022-11;contracted;MCP_indexed;1;Residential_OLD-1-contracted-MCP_indexed;836682,68440534395631;737620,280706465942785;0;836682,68440534395631;0;127140563,7680729925632;0;98372136,9400123059750;0;1629590,14659520005807;9560062,2172550205141;0;109561789,303863003850;17578774,4642097987235;116,4227158052910;151,9579239989120;0;117,5740083708420;0;1,94768001892306;11,4261504336613;0;130,9478388234270;21,0100851754850986;LV;PPC
